"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","26","GET /status/400 возвращает HTTP 400","tests.api","Fri May 08 11:46:14 MSK 2026","passed","Fri May 08 11:46:14 MSK 2026","","test_status_codes","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","28","GET /status/200 возвращает HTTP 200","tests.api","Fri May 08 11:46:14 MSK 2026","passed","Fri May 08 11:46:14 MSK 2026","","test_status_codes","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","25","POST /users отклоняет некорректные данные: Пустой email","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","27","GET /status/503 возвращает HTTP 503","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_status_codes","",""
"Проверяем атомарно действие удаления пользователя.","53","DELETE /users/{id} удаляет пользователя и возвращает 204","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_delete","",""
"Проверяем, что PUT перезаписывает name, email и role.","51","PUT /users/{id} полностью заменяет пользователя","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_update","",""
"Проверяем эффект удаления отдельным коротким сценарием.","76","GET /users/{id} после DELETE возвращает 404","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_delete","",""
"Проверяем учебную демонстрацию метода OPTIONS.","64","OPTIONS /users возвращает 204 без тела ответа","tests.api","Fri May 08 11:46:14 MSK 2026","passed","Fri May 08 11:46:14 MSK 2026","","test_http_methods","",""
"Проверяем, что тренажёр отправляет GET /users и показывает метод, URL, X-Course-Session и JSON-ответ.","247","Кнопка GET /users показывает анатомию запроса и ответа","tests.ui","Fri May 08 11:46:22 MSK 2026","passed","Fri May 08 11:46:22 MSK 2026","","test_users_get","",""
"Проверяем атомарное UI-действие PATCH: меняется имя, email сохраняется.","2037","PATCH /users/{id} изменяет имя пользователя через UI","tests.ui","Fri May 08 11:46:24 MSK 2026","passed","Fri May 08 11:46:26 MSK 2026","","test_users_update","",""
"Проверяем заголовок, ссылку на Swagger и состояние кнопок до выбора id пользователя.","152","На странице урока доступны основные элементы тренажёра","tests.ui","Fri May 08 11:46:16 MSK 2026","passed","Fri May 08 11:46:16 MSK 2026","","test_page_controls","",""
"Проверяем отдельный UI-сценарий получения удалённого пользователя.","1831","GET /users/{id} показывает 404 после удаления пользователя","tests.ui","Fri May 08 11:46:22 MSK 2026","passed","Fri May 08 11:46:24 MSK 2026","","test_users_get","",""
"Проверяем успешное создание пользователя через API.","27","POST /users создаёт пользователя","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","26","GET /status/204 возвращает HTTP 204","tests.api","Fri May 08 11:46:14 MSK 2026","passed","Fri May 08 11:46:14 MSK 2026","","test_status_codes","",""
"Проверяем атомарное UI-действие DELETE и статус 204.","1685","DELETE /users/{id} удаляет пользователя через UI","tests.ui","Fri May 08 11:46:20 MSK 2026","passed","Fri May 08 11:46:21 MSK 2026","","test_users_delete","",""
"Проверяем чтение одного пользователя по id.","51","GET /users/{id} возвращает существующего пользователя","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_read","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","26","POST /users отклоняет некорректные данные: Пустое имя","tests.api","Fri May 08 11:46:15 MSK 2026","passed","Fri May 08 11:46:15 MSK 2026","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","27","GET /status/201 возвращает HTTP 201","tests.api","Fri May 08 11:46:14 MSK 2026","passed","Fri May 08 11:46:14 MSK 2026","","test_status_codes","",""
"Проверяем отдельную кнопку 204 в блоке статус-кодов.","180","Кнопка 204 показывает ответ без тела","tests.ui","Fri May 08 11:46:17 MSK 2026","passed","Fri May 08 11:46:17 MSK 2026","","test_status_buttons","",""
