"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем ошибку чтения пользователя, которого нет в сессии.","153","GET /users/{id} возвращает 404 для несуществующего пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_read","",""
"Проверяем чтение одного пользователя по id.","304","GET /users/{id} возвращает существующего пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_read","",""
"Проверяем, что после создания пользователь виден в списке и total увеличивается.","455","POST /users добавляет пользователя в GET /users текущей сессии","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем, что сразу после создания updated_at совпадает с created_at.","158","POST /users создает пользователя без истории изменений","tests.api.basic","2026-05-08","passed","2026-05-08","","test_basic_responses","",""
"Проверяем, что PUT перезаписывает name, email и role.","306","PUT /users/{id} полностью заменяет пользователя","tests.api","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем, что данные одной учебной сессии не видны в другой.","308","POST /users создает пользователя только в рамках текущей сессии","tests.api","2026-05-08","passed","2026-05-08","","test_users_list","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","152","POST /users отклоняет некорректные данные: Некорректная роль","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","154","GET /status/400 возвращает HTTP 400","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","153","POST /users отклоняет некорректные данные: Пустое имя","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","153","POST /users отклоняет некорректные данные: Некорректный email","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","154","GET /status/302 возвращает HTTP 302","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем учебную демонстрацию метода OPTIONS.","610","OPTIONS /users возвращает 204 без тела ответа","tests.api","2026-05-08","passed","2026-05-08","","test_http_methods","",""
"Проверяем, что список пользователей приходит как JSON и соответствует базовому контракту.","651","GET /users возвращает JSON c корректным Content-Type","tests.api.basic","2026-05-08","passed","2026-05-08","","test_basic_responses","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","154","GET /status/301 возвращает HTTP 301","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем атомарное действие удаления пользователя.","306","DELETE /users/{id} удаляет пользователя и возвращает 204","tests.api","2026-05-08","passed","2026-05-08","","test_users_delete","",""
"Проверяем создание пользователя из формы и состояние кнопок GET/PUT/PATCH/DELETE после успешного POST.","1779","POST /users создаёт пользователя, подставляет id и включает CRUD-кнопки","tests.ui","2026-05-08","passed","2026-05-08","","test_users_create","",""
"Проверяем атомарное UI-действие PATCH: меняется имя, email сохраняется.","2299","PATCH /users/{id} изменяет имя пользователя через UI","tests.ui","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем отдельный UI-сценарий получения удалённого пользователя.","2363","GET /users/{id} показывает 404 после удаления пользователя","tests.ui","2026-05-08","passed","2026-05-08","","test_users_get","",""
"Проверяем заголовок, ссылку на Swagger и состояние кнопок до выбора id пользователя.","126","На странице урока доступны основные элементы тренажера","tests.ui","2026-05-08","passed","2026-05-08","","test_page_controls","",""
"Проверяем, что учебный endpoint возвращает именно тот статус-код, который указан в URL.","152","GET /status/204 возвращает HTTP 204","tests.api","2026-05-08","passed","2026-05-08","","test_status_codes","",""
"Проверяем эффект удаления отдельным коротким сценарием.","455","GET /users/{id} после DELETE возвращает 404","tests.api","2026-05-08","passed","2026-05-08","","test_users_delete","",""
"Проверяем документированное поведение API без session header.","309","GET /users без X-Course-Session создает cookie-сессию и сохраняет ее в контексте","tests.api","2026-05-08","passed","2026-05-08","","test_users_list","",""
"Проверяем, что тренажёр отправляет GET /users и показывает метод, URL, X-Course-Session и JSON-ответ.","443","Кнопка GET /users показывает анатомию запроса и ответа","tests.ui","2026-05-08","passed","2026-05-08","","test_users_get","",""
"Проверяем документированное поведение полного обновления без необязательного поля role.","305","PUT /users/{id} без role сбрасывает роль в значение по умолчанию","tests.api","2026-05-08","passed","2026-05-08","","test_users_update","",""
"Проверяем, что API возвращает 422 и понятное сообщение об ошибке валидации.","153","POST /users отклоняет некорректные данные: Пустой email","tests.api","2026-05-08","passed","2026-05-08","","test_users_create","",""
